Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
10/8/2018,208,222.25,206.85,216,215.15,4642146,10062.83
10/5/2018,217,218.6,205.9,210.25,209.2,3519515,7407.06
10/4/2018,223.5,227.8,216.15,217.25,218.2,1728786,3815.79
10/3/2018,230,237.5,225.75,226.45,227.6,1708590,3960.27
10/1/2018,234.55,234.6,221.05,230.3,230.9,1534749,3486.05
9/28/2018,234.05,235.95,230.2,233.5,233.75,3069914,7162.35
9/27/2018,234.55,236.8,231.1,233.8,233.25,5082859,11859.95
9/26/2018,240,240,232.5,235,234.25,2240909,5248.6
9/25/2018,233.3,236.75,232,236.25,236.1,2349368,5503.9
9/24/2018,233.55,239.2,230.75,234,233.3,3423509,7999.55
9/21/2018,235,237,227.95,233.75,234.6,5395319,12589.59
9/19/2018,235.95,237.2,233.45,234.6,234.9,1362058,3202.78
9/18/2018,237.9,239.25,233.5,235.5,235.05,2614794,6163.7
9/17/2018,233.15,238,230.25,236.4,236.6,3170894,7445.41
9/14/2018,223.45,236.7,223.3,234,233.95,6377909,14784.5
9/12/2018,216.35,223.7,212.65,221.65,222.65,4570939,10002.01
9/11/2018,222.5,225.4,214.85,216.35,216,3508990,7735.81
9/10/2018,222.5,235.15,220.65,221.05,222,7514106,17130.29
9/7/2018,221,224.5,219.1,223.15,222.95,1232507,2742.84
9/6/2018,224,225,218.2,220.95,221.05,1738824,3856.72
9/5/2018,222,224.6,215.2,222.1,222.4,3023097,6674.93
9/4/2018,238.2,238.2,222.6,223.45,223.7,3554859,8163.82
9/3/2018,236,243.55,235.05,236.85,236.7,5242852,12538.39
8/31/2018,237,239.75,232.95,234.65,234.3,3353833,7913.21
8/30/2018,235.35,237.3,232.1,237.3,236,1921327,4516.57
8/29/2018,233.85,237.7,232.7,234.2,234.55,1394661,3280.33
8/28/2018,237,239.3,231.3,232.9,233.35,2374782,5571.77
8/27/2018,231.8,239.35,231.05,236.8,237.05,1990020,4689.94
8/24/2018,234.5,237.2,230.2,231.5,231,1838417,4289.35
8/23/2018,240.3,240.6,233.1,235.5,235.45,1553953,3662.36
8/21/2018,246.9,246.9,239.25,240.9,240.55,3272005,7941.4
8/20/2018,244,247,243,244.7,245.15,1690225,4141.83
8/17/2018,240.8,244.5,239.2,242.7,243,2838238,6885.52
8/16/2018,236.05,242,235.95,240.35,239.35,2551480,6106.81
8/14/2018,235,238.5,235,237.4,237.55,1885288,4459.96
8/13/2018,233,236.45,232.25,235.2,234.55,1948583,4573.57
8/10/2018,237.3,237.95,231.1,233.65,233.55,2035594,4757.48
8/9/2018,236.65,239.85,235.3,237.25,237.3,1127248,2676.63
8/8/2018,237.25,240.5,235.05,236.35,236.35,1807313,4305.39
8/7/2018,241,241.55,235.3,237.5,237.6,1963538,4677.58
8/6/2018,235.15,240.45,234.15,240,239.5,2560616,6080.87
8/3/2018,236,239,232,235.2,234.65,3357945,7893.32
8/2/2018,232.5,238.05,230.4,235,235.45,5700851,13328.52
8/1/2018,248.7,254.95,234.35,235.1,235.65,13272609,32325.56
7/31/2018,243.4,249.65,241.5,247.1,246.9,4422342,10917.34
7/30/2018,243.7,247,240.9,243.65,242.2,1867720,4544.83
7/27/2018,241,243.95,239.15,242.5,242.25,1581985,3821.97
7/26/2018,235.9,242.95,234.5,239.5,239.1,3996921,9565.1
7/25/2018,248.5,248.5,235.8,236.05,236.9,2310430,5596.44
7/24/2018,244,249.2,241.9,246.3,246.3,2278457,5607.3
7/23/2018,238.9,244.25,235.25,243.05,243.3,2351769,5645.48
7/20/2018,231.25,240.95,231.25,238.9,238.6,3003282,7143.47
7/19/2018,239.7,243.3,228.6,232.5,233.1,4223216,9934.06
7/18/2018,248.4,249.6,232.7,238.1,238.65,3343525,8021.22
7/17/2018,241.55,251.85,240.3,247.5,247.9,3158004,7794.77
7/16/2018,257.9,257.9,242.1,243.9,243.25,3454849,8566.75
7/13/2018,265,265.75,257.55,258.3,258.9,3357333,8804.57
7/12/2018,270.4,272.45,264.35,264.5,265.2,2250217,6045.37
7/11/2018,274.8,275.45,267.45,270,269.8,1407688,3811.57
7/10/2018,275.9,277.8,272.55,274.55,274.75,1284523,3532.63
7/9/2018,268.25,276.2,267,275.3,275.25,2267486,6168.1
7/6/2018,269.8,273.25,265.7,266.2,266.3,2022333,5443.53
7/5/2018,277.45,282.4,270,271.8,271.25,2338411,6459.01
7/4/2018,281,281,275.35,277.7,277.3,3598212,9999.82
7/3/2018,264.5,284.5,262.7,280.1,281,6676660,18483.41
7/2/2018,271,273.1,263.25,264.5,264.45,3661633,9740.9
6/29/2018,262.7,270.15,262.7,269.2,269.35,2077927,5519.02
6/28/2018,263,268.25,261.45,265.05,263.95,4511203,11917.5
6/27/2018,265.1,268.4,261.2,263.15,265.6,2234204,5905.05
6/26/2018,264.8,269.7,263.3,264.6,267.35,2208389,5886.61
6/25/2018,260.1,266.95,260.1,264.55,264.5,2103452,5563.82
6/22/2018,257.9,263.55,256.45,261.95,262.1,2459832,6442.71
6/21/2018,258.05,262.35,255.5,258.15,258.2,3020580,7806.4
6/20/2018,263.7,264.75,257,260.55,260.85,3367252,8755.18
6/19/2018,274.65,274.65,266.05,267,267.05,6224725,16640.21
6/18/2018,271.55,276.85,269.15,274.9,275.35,1541522,4214.24
6/15/2018,279.15,281,271.45,272.2,272.15,3133233,8614.03
6/14/2018,269.8,278.75,268.2,278,277.8,3646744,10067.32
6/13/2018,267,270.5,265.35,270,269.6,1232644,3311.87
6/12/2018,262.75,268.4,262.75,267.2,267.6,1206633,3209.4
6/11/2018,265.6,271.25,262.7,263.25,263.7,3538690,9470.3
6/8/2018,263.7,269.35,263.55,266.7,266.95,1104173,2945.64
6/7/2018,266.9,269.7,263.3,267,267.1,1527128,4075.26
6/6/2018,262.75,266.7,260.35,265.55,265.75,2052017,5408.38
6/5/2018,255.5,264.7,254.8,264.2,263.75,4208120,11030.56
6/4/2018,265,265.4,253.5,255.5,255.25,1819147,4706.54
6/1/2018,269.7,269.7,258.55,265.1,263.25,2622839,6920.49
5/31/2018,267,272,260.7,269.05,269.2,3469905,9239.62
5/30/2018,254,266,253.2,265.7,264.5,4154146,10876.9
5/29/2018,257.4,262.7,257,257.9,257.5,2235734,5803.91
5/28/2018,254.7,262.2,254.65,260.7,260.65,2649349,6862.75
5/25/2018,252.2,259.4,252.2,258.5,257.85,2071496,5324.08
5/24/2018,251,255.5,247.3,255,254.5,2921253,7380.24
5/23/2018,246.5,252.35,245.55,250,250.2,4295785,10726.5
5/22/2018,244,251.1,244,247.6,247.15,3175432,7874.05
5/21/2018,244.1,248.35,240.55,244,243.55,3180360,7762.71
5/18/2018,248.3,248.95,243.35,245.1,244.7,3297714,8103.65
5/17/2018,243.5,249.3,242.5,247.5,247.5,7108750,17573.66
5/16/2018,240,245.6,237.25,241.4,241.1,6328483,15295.87
5/15/2018,256.45,259.5,240.75,242.45,242.65,9298329,23074.68
5/14/2018,280,281.35,251.85,257,255.9,16822847,43913.37
5/11/2018,284.4,290.5,284.4,287,287.5,1974327,5685.22
5/10/2018,292.95,293,283.45,284.15,285.25,1446384,4157.17
5/9/2018,289.6,294.35,288.6,292,292,1820409,5311
5/8/2018,296,296.2,287.25,289.5,289.7,1720983,4998.87
5/7/2018,288.8,295.5,287,295.05,294.2,1848551,5387.46
5/4/2018,287.05,291.5,282.3,287.9,287.8,1399442,4014.1
5/3/2018,292.75,292.75,283.1,286.45,286.65,2561225,7355.63
5/2/2018,297.4,300,289.4,293,292.75,1857277,5479.6
4/30/2018,293.9,298.5,292.05,297.85,297.55,3046154,9025.87
4/27/2018,293.45,294.4,291.05,291.4,292.1,1858644,5443.94
4/26/2018,292.5,293.65,288.75,291.2,291.2,4942803,14401.35
4/25/2018,283.05,291.25,282.05,289.1,289.1,4804882,13808.09
4/24/2018,283,288,281.8,283.7,283.15,2131466,6075.2
4/23/2018,287.7,287.8,282.65,283.2,283.6,1687369,4794.16
4/20/2018,285.95,288.8,283.65,286,286.3,2523492,7225.36
4/19/2018,286,288.65,283.6,285.55,286.2,2434183,6966.56
4/18/2018,282.3,287.45,279.25,285.35,284.1,4719061,13416.32
4/17/2018,282,285.25,277.5,280.6,280.95,5799262,16355.69
4/16/2018,274,280.2,272.55,279.4,279.65,3030999,8371.24
4/13/2018,274,277.35,271.75,275.7,275.5,2196800,6024.34
4/12/2018,273.9,277.8,271.65,273.9,273.85,2149205,5896.21
4/11/2018,276.1,276.35,271.5,273.85,273.85,1996390,5454.47
4/10/2018,280.2,280.7,274.1,275.8,275.5,2190930,6065.36
4/9/2018,275,281.65,273,276.75,277.8,4623765,12889.29
4/6/2018,274.8,275.65,271,272.7,272.7,1852060,5047.58
4/5/2018,274.55,277,271.5,273,273,2658707,7260.79
4/4/2018,276.7,279.05,269.55,270.15,270.25,3283985,8975.77
4/3/2018,276,277.55,271.7,275.3,274.8,2613360,7162.95
4/2/2018,259.35,278.4,259.35,277.45,276.95,6610831,17918.02
3/28/2018,261.25,264,257.5,259.15,258.75,2283408,5951.18
3/27/2018,264,265.75,260.75,264,263.8,3071911,8092.83
3/26/2018,258.05,263.5,253.7,263.45,262.2,2440719,6332.93
3/23/2018,251.05,258.9,250,258.2,257.9,2297852,5859.45
3/22/2018,264.65,264.65,257.6,259.1,258.85,1681596,4369.46
3/21/2018,265.3,266.3,262.15,262.9,263.2,1477158,3901.51
3/20/2018,259.7,263.65,255.1,263.3,262.05,2855717,7453.21
3/19/2018,272.6,273,258.35,260.65,260.6,3665423,9640.91
3/16/2018,280.8,282.7,271.05,272.55,272.4,2762357,7633.86
3/15/2018,278,284.4,277.25,279.55,279.6,2877987,8081.81
3/14/2018,275.25,281.25,275.25,279,278.5,2056369,5729.14
3/13/2018,278.05,281.3,273.2,278.2,278.2,3095190,8590.75
3/12/2018,270,276.65,269.7,276,276.05,2583575,7052.02
3/9/2018,275.9,275.9,266.6,268.5,268.35,1614381,4376.16
3/8/2018,270.5,274.2,265,273.15,273.4,2246589,6068.8
3/7/2018,272,274.45,265.15,268.9,268.9,4847214,13070.84
3/6/2018,276.7,283.1,271.45,272.5,274.15,6601857,18367.89
3/5/2018,274.8,276.95,270.55,276.6,275.65,4680138,12811.25
3/1/2018,275,277.35,274.1,275.45,274.85,2322191,6392.67
